"","adj","vb","emot","polaridade","positivo","negativo","tamanho","tamanhoUtil","status"
"89",21,2,0,0,5,9,80,72,"fake"
"90",15,6,0,0,5,5,95,93,"fake"
"91",8,19,0,1,12,5,107,101,"fake"
"92",21,8,0,0,4,11,122,113,"fake"
"93",5,2,0,1,4,2,49,47,"fake"
"94",13,7,0,1,10,2,73,71,"fake"
"95",18,5,0,0,2,6,91,89,"fake"
"96",5,5,0,0,3,3,58,56,"fake"
"97",12,5,0,0,2,5,75,73,"fake"
"98",23,8,0,0,6,7,141,135,"fake"
"99",32,12,0,1,14,5,176,169,"fake"
"100",15,0,0,1,5,2,73,70,"fake"
"101",18,3,0,1,8,7,87,82,"fake"
"102",39,6,0,1,14,13,223,213,"fake"
"103",22,3,0,1,9,4,127,119,"fake"
"104",17,7,0,1,11,8,106,104,"fake"
"105",15,13,0,1,14,8,109,101,"fake"
"106",8,2,0,0,2,4,67,65,"fake"
"107",16,2,0,0,3,9,65,57,"fake"
"108",0,1,0,1,1,0,6,6,"fake"
"109",13,3,0,1,5,4,41,40,"fake"
"110",22,10,0,0,9,10,119,111,"fake"
"111",24,11,0,0,9,9,118,115,"fake"
"112",6,6,0,1,4,2,67,66,"fake"
"113",9,2,0,1,9,0,103,101,"fake"
"114",14,8,0,1,8,0,113,112,"fake"
"115",12,6,0,0,6,8,73,70,"fake"
"116",12,7,0,1,8,4,81,80,"fake"
"117",18,7,0,0,4,6,154,150,"fake"
"118",12,5,0,1,6,5,97,94,"fake"
"119",16,3,0,1,8,5,83,80,"fake"
"120",9,4,0,1,8,1,66,65,"fake"
"121",18,9,0,0,8,13,122,120,"fake"
"122",25,13,0,1,13,8,155,148,"fake"
"123",18,10,0,1,8,3,118,112,"fake"
"124",16,4,0,0,5,6,86,83,"fake"
"125",16,5,0,0,5,6,127,120,"fake"
"126",22,11,0,1,13,8,119,114,"fake"
"127",9,2,0,1,4,2,65,63,"fake"
"128",59,16,0,1,19,10,343,334,"fake"
"129",26,3,0,0,4,7,131,125,"fake"
"130",8,3,0,0,3,3,50,49,"fake"
"131",35,20,0,0,17,17,224,212,"fake"
"132",25,8,0,1,10,6,143,135,"fake"
"133",11,0,0,0,1,4,48,47,"fake"
"134",49,12,0,1,23,16,230,214,"fake"
"135",15,2,0,1,6,3,58,57,"fake"
"136",14,4,0,0,4,5,93,89,"fake"
"137",22,6,0,1,11,10,106,102,"fake"
"138",14,9,0,0,3,3,80,78,"fake"
"139",6,1,0,1,2,0,36,35,"fake"
"140",21,3,0,1,11,7,104,99,"fake"
"141",41,10,0,1,21,8,213,212,"fake"
"142",15,3,0,1,3,1,76,73,"fake"
"143",25,5,0,0,6,9,107,102,"fake"
"144",10,7,0,1,7,4,66,62,"fake"
"145",17,9,0,1,8,6,112,105,"fake"
"146",25,7,0,0,9,10,136,134,"fake"
"147",44,8,0,1,16,9,196,186,"fake"
"148",42,18,0,1,20,14,298,294,"fake"
"149",19,5,0,1,8,5,122,115,"fake"
"150",4,2,0,0,2,2,38,38,"fake"
"151",23,6,0,0,5,9,136,131,"fake"
"152",11,8,0,1,7,4,86,81,"fake"
"153",16,5,0,0,4,8,79,77,"fake"
"154",20,7,0,0,4,13,108,106,"fake"
"155",8,0,0,1,2,0,60,57,"fake"
"156",13,4,0,0,5,5,61,60,"fake"
"157",7,3,0,1,6,0,75,73,"fake"
"158",35,8,0,1,13,8,197,189,"fake"
"159",12,3,0,0,4,4,77,77,"fake"
"160",15,3,0,0,3,10,73,70,"fake"
"161",2,1,0,0,1,2,10,9,"fake"
"162",15,1,0,0,5,6,96,91,"fake"
"163",23,10,0,1,16,9,97,93,"fake"
"164",2,0,0,0,0,0,18,18,"fake"
"165",9,5,0,1,4,2,71,65,"fake"
"166",36,7,0,1,14,8,196,194,"fake"
"167",22,3,0,0,9,11,92,89,"fake"
"168",13,5,0,1,5,3,105,101,"fake"
"169",19,4,0,1,7,6,138,133,"fake"
"170",24,10,0,1,14,10,128,123,"fake"
"171",16,7,0,1,9,5,109,105,"fake"
"172",4,0,0,0,0,1,21,19,"fake"
"173",11,4,0,1,5,3,65,64,"fake"
"174",24,4,0,1,10,4,99,92,"fake"
"175",20,5,0,1,9,5,96,94,"fake"
"176",16,1,0,0,3,9,79,77,"fake"
"177",33,10,0,0,11,13,262,257,"fake"
"178",17,8,0,1,11,5,137,133,"fake"
"179",17,11,0,1,10,9,116,104,"fake"
"180",21,11,0,1,12,11,183,174,"fake"
"181",9,0,0,1,1,0,60,59,"fake"
"182",20,1,0,0,3,6,87,83,"fake"
"183",15,2,0,1,6,2,93,86,"fake"
"184",14,10,0,0,5,6,92,87,"fake"
"185",16,3,0,1,4,2,79,76,"fake"
"186",61,20,0,0,23,23,222,209,"fake"
"187",19,3,0,0,5,11,91,89,"fake"
"188",10,2,0,0,2,3,75,75,"fake"
"189",9,4,0,0,4,4,31,30,"fake"
"190",33,9,0,1,18,9,144,138,"fake"
"191",33,7,0,1,18,8,179,175,"fake"
"192",17,3,0,1,8,4,90,87,"fake"
"193",22,4,0,0,7,7,74,73,"fake"
"194",22,4,0,1,8,6,76,73,"fake"
"195",24,3,0,0,5,8,121,115,"fake"
"196",11,3,0,0,0,5,68,68,"fake"
"197",18,5,0,0,3,9,142,121,"fake"
"198",10,3,0,0,2,4,81,74,"fake"
"199",17,4,0,1,10,5,84,83,"fake"
"200",22,4,0,1,8,7,115,112,"fake"
"201",19,4,0,1,9,4,86,84,"fake"
"202",30,12,0,1,15,8,142,136,"fake"
"203",7,0,0,1,3,2,59,55,"fake"
"204",16,5,0,0,4,5,98,95,"fake"
"205",27,8,0,1,17,4,139,129,"fake"
"206",6,2,0,0,0,5,27,24,"fake"
"207",15,6,0,1,9,3,89,85,"fake"
"208",10,2,0,0,2,6,86,80,"fake"
"209",37,11,0,1,13,8,133,128,"fake"
"210",16,3,0,0,2,9,74,72,"fake"
"211",19,3,0,1,10,4,73,72,"fake"
"212",34,3,0,1,8,4,146,141,"fake"
"213",33,6,0,1,9,7,160,154,"fake"
"214",17,2,0,0,1,5,105,100,"fake"
"215",14,9,0,0,4,9,92,83,"fake"
"216",11,6,0,0,4,7,87,83,"fake"
"217",12,8,0,0,5,7,63,57,"fake"
"218",3,6,0,0,0,6,61,56,"fake"
"219",10,2,0,0,2,3,37,35,"fake"
"220",14,8,0,0,8,8,120,113,"fake"
"221",13,3,0,1,9,0,65,62,"fake"
"222",11,0,0,1,6,1,49,46,"fake"
"223",15,15,0,1,8,5,99,94,"fake"
"224",21,5,0,0,5,11,131,123,"fake"
"225",51,21,0,1,23,10,332,316,"fake"
"226",2,1,0,0,0,1,49,48,"fake"
"227",15,4,0,0,3,7,67,63,"fake"
"228",11,0,0,0,0,4,104,102,"fake"
"229",10,4,0,0,2,6,75,72,"fake"
"230",35,4,0,1,13,4,154,152,"fake"
"231",25,10,0,1,12,8,111,106,"fake"
"232",2,1,0,1,2,0,25,25,"fake"
"233",6,0,0,1,2,0,60,57,"fake"
"234",15,4,0,1,13,2,110,109,"fake"
"235",10,9,0,0,4,5,117,110,"fake"
"236",33,17,0,1,19,15,188,184,"fake"
"237",24,6,0,0,5,8,169,164,"fake"
"238",16,3,0,1,10,3,124,123,"fake"
"239",12,5,0,1,1,0,59,57,"fake"
"240",24,8,0,1,13,6,90,82,"fake"
"241",10,2,0,0,2,2,63,62,"fake"
"242",15,2,0,0,3,7,73,71,"fake"
"243",7,15,0,1,11,6,91,86,"fake"
"244",19,3,0,1,11,2,102,100,"fake"
"245",33,10,0,0,8,9,148,141,"fake"
"246",13,3,0,0,6,6,76,71,"fake"
"247",31,8,0,1,12,1,127,126,"fake"
"248",13,5,0,1,5,1,83,83,"fake"
"249",8,1,0,1,1,0,49,48,"fake"
"250",18,5,0,0,3,4,138,137,"fake"
"251",27,3,0,1,12,4,131,128,"fake"
"252",21,4,0,0,7,7,74,68,"fake"
"253",14,6,0,0,2,3,89,86,"fake"
"254",21,13,0,0,6,10,167,157,"fake"
"255",8,6,0,1,3,0,76,74,"fake"
"256",3,1,0,0,0,0,33,32,"fake"
"257",13,0,0,0,2,7,60,58,"fake"
"258",63,18,0,0,19,19,321,302,"fake"
"259",16,2,0,1,6,3,106,105,"fake"
"260",5,3,0,1,3,1,73,72,"fake"
"261",8,0,0,0,1,1,57,53,"fake"
"262",2,4,0,1,4,1,17,17,"fake"
"263",8,5,0,1,7,3,59,56,"fake"
"264",11,9,0,0,3,3,74,69,"fake"
"265",10,9,0,0,7,8,73,73,"fake"
"266",13,6,0,1,6,5,100,97,"fake"
"267",14,5,0,1,6,3,71,70,"fake"
"268",15,14,0,0,5,7,88,85,"fake"
"269",27,7,0,0,6,7,174,169,"fake"
"270",14,7,0,1,11,2,107,106,"fake"
"271",1,1,0,0,0,1,12,12,"fake"
"272",9,5,0,0,4,6,49,47,"fake"
"273",0,1,0,0,0,1,7,7,"fake"
"274",24,2,0,0,5,5,83,78,"fake"
"275",22,5,0,1,9,6,122,116,"fake"
"276",16,6,0,0,3,7,71,69,"fake"
"277",22,8,0,1,10,5,152,142,"fake"
"278",18,4,0,1,8,3,143,138,"fake"
"279",36,5,0,1,20,4,176,167,"fake"
"280",29,3,0,1,12,5,127,124,"fake"
"281",8,2,0,0,1,6,56,52,"fake"
"282",22,6,0,1,8,5,80,75,"fake"
"283",45,6,0,0,12,14,208,196,"fake"
"284",38,21,0,1,15,12,221,206,"fake"
"285",13,4,0,0,4,5,101,96,"fake"
"286",11,1,0,0,3,5,64,61,"fake"
"287",11,6,0,0,6,6,62,60,"fake"
"288",24,17,0,0,12,15,174,170,"fake"
"289",19,13,0,1,12,5,180,168,"fake"
"290",27,5,0,1,14,6,125,119,"fake"
"291",45,22,0,1,23,17,292,273,"fake"
"292",16,4,0,1,8,4,88,84,"fake"
"293",25,4,0,1,9,5,97,95,"fake"
"294",37,10,0,0,8,14,175,171,"fake"
"295",8,3,0,1,4,1,61,56,"fake"
"296",22,12,0,1,8,6,156,153,"fake"
"297",34,5,0,1,13,11,134,133,"fake"
"298",32,7,0,1,10,7,165,164,"fake"
"299",14,1,0,1,5,3,69,69,"fake"
"300",12,5,0,0,5,6,56,55,"fake"
"301",21,10,0,1,12,10,107,95,"fake"
"302",51,4,0,1,21,15,245,232,"fake"
"303",4,4,0,1,3,2,55,53,"fake"
"304",22,4,0,0,7,10,83,76,"fake"
"305",16,8,0,1,8,7,91,90,"fake"
"306",16,3,0,1,6,3,55,55,"fake"
"307",46,22,0,1,18,12,240,225,"fake"
"308",10,4,0,1,4,3,56,55,"fake"
"309",32,9,0,0,10,10,173,165,"fake"
"310",40,11,0,1,18,7,205,200,"fake"
"311",25,8,0,0,9,9,159,155,"fake"
"312",15,4,0,0,5,6,89,85,"fake"
"313",51,10,0,0,9,15,216,205,"fake"
"314",15,3,0,0,3,6,90,87,"fake"
"315",19,3,0,1,7,3,90,88,"fake"
"316",19,13,0,1,10,5,113,110,"fake"
"317",16,2,0,1,9,5,78,76,"fake"
"318",25,7,0,1,13,10,157,152,"fake"
"319",26,10,0,1,9,6,115,113,"fake"
"320",11,5,0,1,8,3,85,80,"fake"
"321",25,7,0,1,14,3,157,154,"fake"
"322",11,4,0,0,3,4,87,83,"fake"
"323",15,2,0,0,3,8,54,50,"fake"
"324",38,8,0,1,13,9,169,167,"fake"
"325",9,8,0,1,7,5,72,71,"fake"
"326",34,13,0,1,17,6,161,151,"fake"
"327",36,14,0,0,12,17,168,162,"fake"
"328",9,0,0,1,3,0,52,51,"fake"
"329",0,0,0,0,0,0,11,11,"fake"
"330",20,5,0,0,4,9,91,87,"fake"
"331",30,7,0,1,8,5,131,127,"fake"
"332",66,18,0,1,21,16,246,238,"fake"
"333",48,7,0,0,16,17,181,166,"fake"
"334",14,2,0,0,4,4,85,84,"fake"
"335",20,15,0,0,10,13,149,147,"fake"
"336",57,20,0,1,25,12,256,247,"fake"
"337",13,2,0,0,0,5,70,67,"fake"
"338",22,2,0,1,10,7,125,123,"fake"
"339",28,8,0,1,14,10,133,127,"fake"
"340",32,11,0,1,8,7,182,177,"fake"
"341",20,2,0,1,7,3,83,78,"fake"
"342",15,5,0,1,8,7,73,71,"fake"
"343",17,4,0,1,3,1,94,93,"fake"
"344",22,10,0,0,5,8,101,96,"fake"
"345",14,3,0,0,1,4,80,77,"fake"
"346",14,7,0,0,5,7,80,78,"fake"
"347",31,12,0,1,13,10,171,167,"fake"
"348",24,7,0,1,9,3,126,122,"fake"
"349",15,3,0,1,5,2,84,82,"fake"
"350",15,3,0,1,12,0,70,69,"fake"
"351",22,3,0,0,3,9,114,111,"fake"
"352",19,7,0,0,4,5,151,147,"fake"
"353",10,3,0,0,1,3,49,48,"fake"
"354",51,14,0,1,25,13,255,246,"fake"
"355",10,0,0,0,0,1,61,59,"fake"
"356",22,5,0,1,10,6,102,96,"fake"
"357",24,2,0,0,9,9,112,111,"fake"
"358",29,5,0,0,9,13,175,173,"fake"
"359",17,11,0,1,9,5,108,104,"fake"
"360",27,15,0,0,13,17,126,122,"fake"
"361",12,3,0,1,4,0,76,74,"fake"
"362",7,1,0,1,4,2,43,40,"fake"
"363",22,8,0,0,9,13,128,117,"fake"
"364",28,9,0,0,8,9,162,156,"fake"
"365",16,4,0,1,7,3,104,103,"fake"
"366",10,4,0,1,4,2,85,81,"fake"
"367",41,4,0,1,12,11,219,213,"fake"
"368",10,7,0,0,4,8,88,87,"fake"
"369",121,90,0,1,68,62,760,712,"fake"
"370",6,5,0,0,4,5,88,86,"fake"
"371",11,0,0,0,1,1,63,63,"fake"
"372",16,6,0,1,7,6,121,119,"fake"
"373",21,13,0,1,13,8,162,158,"fake"
"374",23,2,0,1,8,6,107,105,"fake"
"375",8,4,0,0,3,7,62,59,"fake"
"376",20,6,0,1,6,4,103,98,"fake"
"377",9,2,0,1,2,1,42,41,"fake"
"378",25,9,0,0,6,9,138,127,"fake"
"379",24,4,0,0,4,6,93,89,"fake"
"380",28,6,0,1,11,7,147,139,"fake"
"381",1,0,0,1,1,0,17,17,"fake"
"382",24,10,0,1,8,7,144,142,"fake"
"383",42,15,0,1,18,15,216,208,"fake"
"384",9,5,0,1,4,0,68,66,"fake"
"385",20,8,0,1,10,5,100,96,"fake"
"386",24,3,0,0,4,6,83,80,"fake"
"387",18,3,0,1,9,4,97,94,"fake"
"388",13,8,0,1,7,5,105,104,"fake"
"389",16,6,0,0,6,9,90,85,"fake"
"390",15,3,0,0,2,5,61,60,"fake"
"391",51,5,0,1,20,0,178,174,"fake"
"392",12,5,0,1,5,4,105,103,"fake"
"393",17,6,0,0,2,4,103,97,"fake"
"394",34,13,0,0,7,14,166,162,"fake"
"395",14,5,0,1,7,2,122,119,"fake"
"396",16,1,0,1,4,2,104,100,"fake"
"397",16,4,0,0,3,6,80,78,"fake"
"398",14,2,0,1,4,3,69,69,"fake"
"399",19,6,0,0,6,9,132,128,"fake"
"400",6,2,0,0,2,3,45,45,"fake"
"401",23,8,0,1,9,2,143,136,"fake"
"402",25,3,0,1,10,6,183,180,"fake"
"403",19,5,0,0,4,5,104,100,"fake"
"404",19,0,0,1,6,5,92,85,"fake"
"405",21,11,0,0,10,10,134,129,"fake"
"406",25,9,0,0,7,10,141,139,"fake"
"407",45,14,0,1,16,11,210,203,"fake"
"408",24,4,0,0,7,11,118,113,"fake"
"409",13,0,0,1,2,1,75,74,"fake"
"410",18,7,0,0,4,9,87,85,"fake"
"411",21,2,0,1,10,5,107,102,"fake"
"412",15,5,0,1,11,3,70,69,"fake"
"413",31,20,0,1,24,7,264,256,"fake"
"414",14,4,0,0,3,3,72,66,"fake"
"415",17,7,0,1,5,3,100,97,"fake"
"416",31,8,0,1,10,6,141,137,"fake"
"417",17,3,0,1,7,3,99,96,"fake"
"418",22,9,0,0,6,9,116,109,"fake"
"419",15,0,0,1,5,1,71,68,"fake"
"420",49,15,0,0,15,17,248,240,"fake"
"421",16,6,0,0,6,7,94,91,"fake"
"422",18,6,0,1,11,4,108,104,"fake"
"423",6,0,0,0,0,0,56,51,"fake"
"424",53,17,0,0,16,22,318,308,"fake"
"425",8,3,0,0,3,4,76,72,"fake"
"426",2,0,0,0,0,1,12,12,"fake"
"427",14,1,0,1,4,3,90,85,"fake"
"428",20,4,0,1,6,5,102,98,"fake"
"429",31,11,0,0,9,20,183,175,"fake"
"430",36,8,0,1,13,7,133,130,"fake"
"431",15,10,0,0,5,9,124,116,"fake"
"432",12,2,0,1,3,0,96,90,"fake"
"433",19,2,0,0,3,5,90,87,"fake"
"434",17,19,0,0,8,10,106,99,"fake"
"435",19,7,0,1,7,6,148,142,"fake"
"436",12,0,0,0,4,4,70,68,"fake"
"437",17,6,0,0,9,9,130,121,"fake"
"438",29,10,0,0,7,10,152,143,"fake"
"439",4,0,0,1,2,0,14,14,"fake"
"440",18,3,0,1,4,2,79,74,"fake"
"441",14,3,0,0,4,4,82,77,"fake"
"442",8,2,0,1,3,2,45,41,"fake"
"443",1,0,0,0,0,0,11,11,"fake"
"444",13,5,0,1,6,3,64,64,"fake"
"445",6,8,0,1,10,0,87,83,"fake"
"446",4,2,0,0,2,3,69,65,"fake"
"447",17,4,0,0,6,6,94,90,"fake"
"448",29,4,0,0,9,13,116,111,"fake"
"449",10,7,0,0,1,7,88,85,"fake"
"450",15,3,0,0,5,8,76,76,"fake"
"451",47,6,0,0,16,20,159,148,"fake"
"452",7,11,0,0,4,4,97,92,"fake"
"453",4,3,0,1,4,1,62,55,"fake"
"454",5,5,0,0,1,2,60,56,"fake"
"455",9,5,0,0,5,5,50,48,"fake"
"456",16,8,0,0,7,10,106,100,"fake"
"457",11,1,0,0,0,4,59,58,"fake"
"458",31,8,0,1,17,7,158,151,"fake"
"459",10,6,0,1,10,2,71,64,"fake"
"460",18,10,0,0,6,9,104,101,"fake"
"461",20,6,0,0,7,7,92,89,"fake"
"462",25,2,0,0,6,6,156,142,"fake"
"463",22,3,0,0,5,9,101,95,"fake"
"464",10,3,0,0,4,5,76,73,"fake"
"465",22,1,0,1,9,5,95,92,"fake"
"466",31,6,0,1,15,9,139,135,"fake"
"467",19,1,0,0,1,8,120,118,"fake"
"468",34,3,0,0,9,15,172,170,"fake"
"469",18,10,0,0,7,7,106,100,"fake"
"470",22,4,0,1,7,5,150,141,"fake"
"471",16,7,0,0,3,7,82,75,"fake"
"472",6,0,0,0,0,4,48,46,"fake"
"473",20,4,0,1,9,6,88,86,"fake"
"474",20,4,0,0,2,7,104,98,"fake"
"475",8,0,0,0,0,6,32,30,"fake"
"476",28,6,0,0,6,15,153,144,"fake"
"477",8,6,0,0,2,3,97,90,"fake"
"478",12,0,0,0,2,8,67,65,"fake"
"479",11,8,0,1,7,4,55,53,"fake"
"480",30,13,0,1,13,11,192,186,"fake"
"481",3,8,0,1,5,1,73,63,"fake"
"482",16,5,0,1,6,5,84,78,"fake"
"483",7,0,0,0,1,2,42,39,"fake"
"484",8,12,0,0,5,9,79,77,"fake"
"485",39,8,0,0,8,12,187,181,"fake"
"486",21,6,0,0,5,9,103,98,"fake"
"487",26,11,0,1,16,7,152,142,"fake"
"488",14,5,0,0,4,4,72,67,"fake"
"489",24,2,0,1,8,5,91,90,"fake"
"490",10,4,0,0,3,4,100,97,"fake"
"491",34,6,0,1,16,6,149,145,"fake"
"492",13,2,0,1,5,2,69,63,"fake"
"493",26,2,0,0,7,9,107,96,"fake"
"494",34,1,0,0,3,4,175,173,"fake"
"495",6,1,0,0,0,5,74,73,"fake"
"496",19,8,0,0,7,11,106,103,"fake"
"497",14,2,0,1,8,3,83,78,"fake"
"498",11,6,0,0,2,5,64,59,"fake"
"499",7,0,0,0,1,2,57,57,"fake"
"500",17,9,0,1,11,6,108,102,"fake"
"501",8,1,0,0,0,2,71,71,"fake"
"502",68,29,0,0,23,23,415,395,"fake"
"503",10,2,0,0,2,8,88,87,"fake"
"504",23,4,0,0,6,12,140,135,"fake"
"505",30,5,0,0,7,11,170,157,"fake"
"506",29,7,0,1,14,10,143,136,"fake"
"507",18,9,0,1,12,8,110,103,"fake"
"508",21,7,0,0,7,7,108,105,"fake"
"509",20,5,0,0,7,10,92,91,"fake"
"510",56,19,0,0,17,28,297,278,"fake"
"511",11,3,0,1,4,3,50,50,"fake"
"512",29,4,0,1,14,6,129,121,"fake"
"513",28,6,0,0,8,8,171,167,"fake"
"514",4,4,0,0,1,1,60,56,"fake"
"515",23,0,0,0,5,8,96,88,"fake"
"516",26,5,0,0,6,15,90,88,"fake"
"517",15,0,0,1,6,3,55,51,"fake"
"518",28,2,0,0,5,11,117,112,"fake"
"519",37,7,0,0,5,21,137,129,"fake"
"520",11,2,0,0,3,6,92,90,"fake"
"521",19,3,0,0,4,7,64,64,"fake"
"522",20,6,0,0,3,8,125,122,"fake"
"523",29,8,0,0,8,9,186,178,"fake"
"524",28,4,0,1,14,8,124,118,"fake"
"525",32,15,0,1,13,11,146,136,"fake"
"526",12,1,0,1,5,3,88,78,"fake"
"527",11,3,0,1,5,4,128,122,"fake"
"528",14,0,0,0,2,3,80,72,"fake"
"529",8,1,0,0,1,3,95,87,"fake"
"530",11,3,0,0,4,4,53,52,"fake"
"531",13,5,0,1,9,3,85,81,"fake"
"532",10,3,0,0,3,6,64,63,"fake"
"533",19,9,0,1,6,4,163,154,"fake"
"534",47,17,0,1,20,12,296,288,"fake"
"535",5,2,0,1,3,2,58,53,"fake"
"536",11,2,0,0,4,4,50,47,"fake"
"537",9,8,0,0,7,7,93,88,"fake"
"538",22,7,0,1,14,4,115,105,"fake"
"539",14,5,0,0,4,7,70,65,"fake"
"540",9,4,0,0,5,5,76,73,"fake"
"541",15,6,0,1,7,3,82,73,"fake"
"542",24,9,0,0,7,12,146,141,"fake"
"543",24,6,0,1,13,6,111,108,"fake"
"544",11,4,0,0,3,8,85,84,"fake"
"545",36,11,0,1,16,10,259,251,"fake"
"546",6,2,0,1,2,1,26,25,"fake"
"547",6,3,0,0,1,3,74,70,"fake"
"548",12,1,0,1,4,3,69,69,"fake"
"549",10,1,0,0,3,3,72,69,"fake"
"550",28,10,0,1,11,7,158,157,"fake"
"551",12,3,0,1,6,3,72,71,"fake"
"552",23,15,0,0,10,10,151,145,"fake"
"553",29,1,0,0,5,6,138,127,"fake"
"554",8,6,0,1,8,4,133,125,"fake"
"555",11,6,0,0,3,3,81,73,"fake"
"556",9,3,0,0,1,8,71,70,"fake"
"557",19,12,0,0,8,12,154,145,"fake"
"558",19,1,0,1,13,0,99,96,"fake"
"559",17,6,0,0,5,9,65,64,"fake"
"560",20,14,0,0,4,9,157,154,"fake"
"561",11,2,0,0,4,5,116,112,"fake"
"562",5,5,0,0,2,2,37,35,"fake"
"563",43,9,0,1,11,4,161,154,"fake"
"564",16,9,0,1,11,7,93,90,"fake"
"565",16,3,0,0,3,6,90,87,"fake"
"566",15,4,0,1,8,2,90,86,"fake"
"567",10,3,0,0,0,3,68,67,"fake"
"568",23,7,0,0,3,9,113,110,"fake"
"569",21,5,0,1,9,7,92,89,"fake"
"570",11,1,0,1,7,1,76,73,"fake"
"571",13,6,0,1,5,4,138,130,"fake"
"572",8,2,0,1,6,1,67,66,"fake"
"573",38,12,0,0,13,18,189,180,"fake"
"574",33,6,0,0,10,16,176,171,"fake"
"575",13,5,0,0,3,3,79,78,"fake"
"576",2,1,0,0,0,2,13,13,"fake"
"577",15,1,0,1,8,1,67,66,"fake"
"578",17,7,0,0,7,11,130,125,"fake"
"579",17,5,0,0,3,8,116,107,"fake"
