"";"palavras";"n";"tot_rel"
"176";"ultima";280;0,000720559359937414
"177";"vamos";278;0,000715412507366433
"178";"decisao";277;0,000712839081080942
"179";"dentro";275;0,00070769222850996
"180";"dizer";274;0,00070511880222447
"181";"pedido";274;0,00070511880222447
"182";"pouco";273;0,000702545375938979
"183";"advogado";270;0,000694825097082507
"184";"crime";270;0,000694825097082507
"185";"local";270;0,000694825097082507
"186";"sul";270;0,000694825097082507
"187";"exercito";265;0,000681957965655053
"188";"ultimo";264;0,000679384539369562
"189";"coisa";261;0,00067166426051309
"190";"ira";261;0,00067166426051309
"191";"site";261;0,00067166426051309
"192";"havia";258;0,000663943981656617
"193";"ninguem";258;0,000663943981656617
"194";"cerca";254;0,000653650276514654
"195";"declarou";254;0,000653650276514654
"196";"entao";254;0,000653650276514654
"197";"nuclear";252;0,000648503423943673
"198";"joao";251;0,000645929997658182
"199";"cada";250;0,000643356571372691
"200";"nunca";250;0,000643356571372691
"201";"supremo";250;0,000643356571372691
"202";"deu";249;0,000640783145087201
"203";"ataque";248;0,00063820971880171
"204";"cidade";247;0,000635636292516219
"205";"congresso";247;0,000635636292516219
"206";"projeto";247;0,000635636292516219
"207";"dar";246;0,000633062866230728
"208";"la";246;0,000633062866230728
"209";"luiz";246;0,000633062866230728
"210";"nova";245;0,000630489439945237
"211";"deve";244;0,000627916013659747
"212";"direito";244;0,000627916013659747
"213";"meses";243;0,000625342587374256
"214";"revista";243;0,000625342587374256
"215";"brasileira";242;0,000622769161088765
"216";"materia";242;0,000622769161088765
"217";"sempre";242;0,000622769161088765
"218";"feito";241;0,000620195734803274
"219";"pessoa";240;0,000617622308517784
"220";"sabe";240;0,000617622308517784
"221";"recebeu";236;0,000607328603375821
"222";"chegou";233;0,000599608324519348
"223";"epoca";233;0,000599608324519348
"224";"pediu";232;0,000597034898233857
"225";"tv";232;0,000597034898233857
"226";"algo";230;0,000591888045662876
"227";"enquanto";230;0,000591888045662876
"228";"pmdb";230;0,000591888045662876
"229";"trabalho";229;0,000589314619377385
"230";"podem";228;0,000586741193091894
"231";"toda";228;0,000586741193091894
"232";"mendes";227;0,000584167766806404
"233";"propina";227;0,000584167766806404
"234";"ai";226;0,000581594340520913
"235";"nota";226;0,000581594340520913
"236";"mulher";225;0,000579020914235422
"237";"forma";224;0,000576447487949931
"238";"lider";224;0,000576447487949931
"239";"primeiro";224;0,000576447487949931
"240";"curitiba";223;0,000573874061664441
"241";"estar";223;0,000573874061664441
"242";"poderia";223;0,000573874061664441
"243";"tres";223;0,000573874061664441
"244";"acao";221;0,000568727209093459
"245";"investigacoes";221;0,000568727209093459
"246";"tribunal";219;0,000563580356522478
"247";"historia";216;0,000555860077666005
"248";"sim";214;0,000550713225095024
"249";"depoimento";213;0,000548139798809533
"250";"duas";213;0,000548139798809533
"251";"eleicoes";213;0,000548139798809533
"252";"mostra";212;0,000545566372524042
"253";"aconteceu";211;0,000542992946238551
"254";"deus";211;0,000542992946238551
"255";"instituto";211;0,000542992946238551
"256";"meio";210;0,000540419519953061
"257";"estados";208;0,000535272667382079
"258";"lado";208;0,000535272667382079
"259";"todas";208;0,000535272667382079
"260";"gilmar";207;0,000532699241096588
"261";"relacao";207;0,000532699241096588
"262";"oficial";206;0,000530125814811098
"263";"marcelo";205;0,000527552388525607
"264";"pois";204;0,000524978962240116
"265";"apoio";203;0,000522405535954625
"266";"imprensa";203;0,000522405535954625
"267";"primeira";203;0,000522405535954625
"268";"publica";203;0,000522405535954625
"269";"quase";203;0,000522405535954625
"270";"saude";203;0,000522405535954625
"271";"forca";202;0,000519832109669135
"272";"publicou";200;0,000514685257098153
"273";"china";199;0,000512111830812662
"274";"folha";199;0,000512111830812662
"275";"militares";199;0,000512111830812662
"276";"cara";198;0,000509538404527172
"277";"denuncia";198;0,000509538404527172
"278";"esposa";198;0,000509538404527172
"279";"tao";198;0,000509538404527172
"280";"vezes";198;0,000509538404527172
"281";"bilhoes";197;0,000506964978241681
"282";"morte";197;0,000506964978241681
"283";"planalto";197;0,000506964978241681
"284";"populacao";197;0,000506964978241681
"285";"crimes";196;0,00050439155195619
"286";"somente";196;0,00050439155195619
"287";"foro";195;0,000501818125670699
"288";"tipo";195;0,000501818125670699
"289";"feita";194;0,000499244699385208
"290";"horas";194;0,000499244699385208
"291";"outra";194;0,000499244699385208
"292";"outras";194;0,000499244699385208
"293";"delcidio";193;0,000496671273099718
"294";"ver";193;0,000496671273099718
"295";"inacio";192;0,000494097846814227
"296";"janeiro";192;0,000494097846814227
"297";"vou";192;0,000494097846814227
"298";"civil";191;0,000491524420528736
"299";"valor";191;0,000491524420528736
"300";"desse";190;0,000488950994243245
"301";"fernando";190;0,000488950994243245
"302";"sp";190;0,000488950994243245
"303";"empresario";188;0,000483804141672264
"304";"facebook";188;0,000483804141672264
"305";"janot";188;0,000483804141672264
"306";"neves";187;0,000481230715386773
"307";"reais";187;0,000481230715386773
"308";"cadeia";186;0,000478657289101282
"309";"serao";186;0,000478657289101282
"310";"proprio";185;0,000476083862815792
"311";"diario";184;0,000473510436530301
"312";"possivel";184;0,000473510436530301
"313";"rodrigo";184;0,000473510436530301
"314";"falar";183;0,00047093701024481
"315";"tera";183;0,00047093701024481
"316";"varios";183;0,00047093701024481
"317";"ficou";181;0,000465790157673829
"318";"pai";181;0,000465790157673829
"319";"proximo";181;0,000465790157673829
"320";"psdb";181;0,000465790157673829
"321";"questao";181;0,000465790157673829
"322";"partir";180;0,000463216731388338
"323";"conversa";179;0,000460643305102847
"324";"mandato";179;0,000460643305102847
"325";"premiada";179;0,000460643305102847
"326";"manha";178;0,000458069878817356
"327";"publicos";178;0,000458069878817356
"328";"apresentador";177;0,000455496452531865
"329";"tal";177;0,000455496452531865
"330";"cidadao";176;0,000452923026246375
"331";"confira";176;0,000452923026246375
"332";"joesley";176;0,000452923026246375
"333";"mae";176;0,000452923026246375
"334";"sistema";176;0,000452923026246375
"335";"carlos";175;0,000450349599960884
"336";"quanto";175;0,000450349599960884
"337";"senadores";175;0,000450349599960884
"338";"internet";174;0,000447776173675393
"339";"misseis";174;0,000447776173675393
"340";"estaria";173;0,000445202747389902
"341";"paises";173;0,000445202747389902
"342";"ator";172;0,000442629321104412
"343";"decidiu";172;0,000442629321104412
"344";"discurso";172;0,000442629321104412
"345";"esquema";172;0,000442629321104412
"346";"crise";171;0,000440055894818921
"347";"mes";171;0,000440055894818921
"348";"vem";171;0,000440055894818921
"349";"equipe";170;0,00043748246853343
"350";"midia";170;0,00043748246853343
"351";"afirma";169;0,000434909042247939
"352";"final";169;0,000434909042247939
"353";"imagem";169;0,000434909042247939
"354";"advogados";168;0,000432335615962449
"355";"algumas";168;0,000432335615962449
"356";"capital";168;0,000432335615962449
"357";"petistas";167;0,000429762189676958
"358";"dessa";166;0,000427188763391467
"359";"forcas";166;0,000427188763391467
"360";"machado";165;0,000424615337105976
"361";"russia";165;0,000424615337105976
"362";"social";165;0,000424615337105976
"363";"general";164;0,000422041910820486
"364";"mundial";164;0,000422041910820486
"365";"noite";164;0,000422041910820486
"366";"nucleares";164;0,000422041910820486
"367";"passou";164;0,000422041910820486
"368";"amigo";163;0,000419468484534995
"369";"armas";163;0,000419468484534995
"370";"parlamentar";163;0,000419468484534995
"371";"nenhum";162;0,000416895058249504
"372";"sitio";162;0,000416895058249504
"373";"sob";162;0,000416895058249504
"374";"acabou";161;0,000414321631964013
"375";"numero";161;0,000414321631964013
"376";"cancer";160;0,000411748205678522
"377";"fala";160;0,000411748205678522
"378";"juca";160;0,000411748205678522
"379";"pgr";160;0,000411748205678522
"380";"risco";160;0,000411748205678522
"381";"conseguiu";159;0,000409174779393032
"382";"hospital";158;0,000406601353107541
"383";"tentou";158;0,000406601353107541
"384";"verdade";158;0,000406601353107541
"385";"golpe";157;0,00040402792682205
"386";"neste";157;0,00040402792682205
"387";"quatro";157;0,00040402792682205
"388";"ameaca";156;0,000401454500536559
"389";"atual";156;0,000401454500536559
"390";"condenado";156;0,000401454500536559
"391";"alguem";155;0,000398881074251069
"392";"aviao";155;0,000398881074251069
"393";"lugar";155;0,000398881074251069
"394";"ordem";155;0,000398881074251069
"395";"votos";155;0,000398881074251069
"396";"bom";154;0,000396307647965578
"397";"calheiros";154;0,000396307647965578
"398";"tanto";154;0,000396307647965578
"399";"deste";153;0,000393734221680087
"400";"diante";153;0,000393734221680087
"401";"favor";153;0,000393734221680087
"402";"jair";153;0,000393734221680087
"403";"nesta";152;0,000391160795394596
"404";"teori";152;0,000391160795394596
"405";"texto";152;0,000391160795394596
"406";"unidos";152;0,000391160795394596
"407";"palavras";151;0,000388587369109106
"408";"banco";150;0,000386013942823615
"409";"comecou";149;0,000383440516538124
"410";"dono";149;0,000383440516538124
"411";"melhor";149;0,000383440516538124
"412";"tentar";149;0,000383440516538124
"413";"apartamento";148;0,000380867090252633
"414";"imagens";148;0,000380867090252633
"415";"senhor";148;0,000380867090252633
"416";"tarde";148;0,000380867090252633
"417";"terra";148;0,000380867090252633
"418";"via";148;0,000380867090252633
"419";"fazendo";147;0,000378293663967142
"420";"inicio";147;0,000378293663967142
"421";"objetivo";147;0,000378293663967142
"422";"recursos";147;0,000378293663967142
"423";"us";147;0,000378293663967142
"424";"claro";146;0,000375720237681652
"425";"confirmou";146;0,000375720237681652
"426";"empresas";146;0,000375720237681652
"427";"jovem";146;0,000375720237681652
"428";"chefe";145;0,000373146811396161
"429";"fonte";145;0,000373146811396161
"430";"medico";145;0,000373146811396161
"431";"responsavel";145;0,000373146811396161
"432";"algum";144;0,00037057338511067
"433";"cantor";144;0,00037057338511067
"434";"casos";144;0,00037057338511067
"435";"desta";144;0,00037057338511067
"436";"parlamentares";144;0,00037057338511067
"437";"pena";144;0,00037057338511067
"438";"frente";143;0,000367999958825179
"439";"ministros";143;0,000367999958825179
"440";"total";143;0,000367999958825179
"441";"acima";142;0,000365426532539689
"442";"esquerda";142;0,000365426532539689
"443";"mpf";142;0,000365426532539689
"444";"palacio";142;0,000365426532539689
"445";"vao";142;0,000365426532539689
"446";"deixou";141;0,000362853106254198
"447";"pede";141;0,000362853106254198
"448";"pedir";141;0,000362853106254198
"449";"defender";140;0,000360279679968707
"450";"dizendo";140;0,000360279679968707
"451";"filhos";140;0,000360279679968707
"452";"grandes";140;0,000360279679968707
"453";"hora";140;0,000360279679968707
"454";"contas";139;0,000357706253683216
"455";"investigacao";139;0,000357706253683216
"456";"marisa";139;0,000357706253683216
"457";"precisa";139;0,000357706253683216
"458";"reportagem";139;0,000357706253683216
"459";"vitima";139;0,000357706253683216
"460";"alerta";137;0,000352559401112235
"461";"vivo";137;0,000352559401112235
"462";"antonio";136;0,000349985974826744
"463";"movimento";136;0,000349985974826744
"464";"senadora";136;0,000349985974826744
"465";"voces";136;0,000349985974826744
"466";"agencia";135;0,000347412548541253
"467";"amigos";135;0,000347412548541253
"468";"lavagem";135;0,000347412548541253
"469";"problema";134;0,000344839122255763
"470";"assunto";133;0,000342265695970272
"471";"base";133;0,000342265695970272
"472";"claudio";133;0,000342265695970272
"473";"fica";133;0,000342265695970272
"474";"comando";132;0,000339692269684781
"475";"documentos";132;0,000339692269684781
"476";"doria";132;0,000339692269684781
"477";"seguinte";132;0,000339692269684781
"478";"milhao";131;0,00033711884339929
"479";"presos";131;0,00033711884339929
"480";"provas";131;0,00033711884339929
"481";"acoes";130;0,0003345454171138
"482";"ato";130;0,0003345454171138
"483";"caixa";130;0,0003345454171138
"484";"carro";130;0,0003345454171138
"485";"palocci";130;0,0003345454171138
"486";"acusado";129;0,000331971990828309
"487";"escreveu";129;0,000331971990828309
"488";"ficar";129;0,000331971990828309
"489";"muita";129;0,000331971990828309
"490";"parece";129;0,000331971990828309
"491";"pm";129;0,000331971990828309
"492";"coisas";128;0,000329398564542818
"493";"eleitoral";128;0,000329398564542818
"494";"noticia";128;0,000329398564542818
"495";"policiais";128;0,000329398564542818
"496";"resposta";128;0,000329398564542818
"497";"corpo";127;0,000326825138257327
"498";"reuniao";127;0,000326825138257327
"499";"twitter";127;0,000326825138257327
"500";"marido";126;0,000324251711971836
"501";"mesma";126;0,000324251711971836
"502";"noticias";126;0,000324251711971836
"503";"oas";126;0,000324251711971836
"504";"organizacao";126;0,000324251711971836
"505";"propinas";126;0,000324251711971836
"506";"fogo";125;0,000321678285686346
"507";"logo";125;0,000321678285686346
"508";"maria";125;0,000321678285686346
"509";"alvo";124;0,000319104859400855
"510";"donald";124;0,000319104859400855
"511";"luis";124;0,000319104859400855
"512";"posse";124;0,000319104859400855
"513";"receber";124;0,000319104859400855
"514";"uso";124;0,000319104859400855
"515";"volta";124;0,000319104859400855
"516";"chamado";123;0,000316531433115364
"517";"deveria";123;0,000316531433115364
"518";"lista";123;0,000316531433115364
"519";"ocorreu";123;0,000316531433115364
"520";"passa";123;0,000316531433115364
"521";"agua";122;0,000313958006829873
"522";"desses";122;0,000313958006829873
"523";"gleisi";122;0,000313958006829873
"524";"valores";122;0,000313958006829873
"525";"candidato";121;0,000311384580544383
"526";"ricardo";121;0,000311384580544383
"527";"aparece";120;0,000308811154258892
"528";"batista";120;0,000308811154258892
"529";"chegar";120;0,000308811154258892
"530";"constituicao";120;0,000308811154258892
"531";"declaracao";120;0,000308811154258892
"532";"evitar";120;0,000308811154258892
"533";"medo";120;0,000308811154258892
"534";"portal";120;0,000308811154258892
"535";"prefeito";120;0,000308811154258892
"536";"problemas";120;0,000308811154258892
"537";"respeito";120;0,000308811154258892
"538";"roberto";120;0,000308811154258892
"539";"segunda";120;0,000308811154258892
"540";"tirar";120;0,000308811154258892
"541";"cervero";119;0,000306237727973401
"542";"passar";119;0,000306237727973401
"543";"conhecido";118;0,00030366430168791
"544";"corte";118;0,00030366430168791
"545";"deixar";118;0,00030366430168791
"546";"falta";118;0,00030366430168791
"547";"igreja";118;0,00030366430168791
"548";"mensagem";118;0,00030366430168791
"549";"pagar";118;0,00030366430168791
"550";"privilegiado";118;0,00030366430168791
"551";"sociedade";118;0,00030366430168791
"552";"ultimos";118;0,00030366430168791
"553";"acidente";117;0,00030109087540242
"554";"chamou";117;0,00030109087540242
"555";"democracia";117;0,00030109087540242
"556";"funcionarios";117;0,00030109087540242
"557";"motivo";117;0,00030109087540242
"558";"podemos";117;0,00030109087540242
"559";"propria";117;0,00030109087540242
"560";"bomba";116;0,000298517449116929
"561";"dados";116;0,000298517449116929
"562";"direitos";116;0,000298517449116929
"563";"empreiteira";116;0,000298517449116929
"564";"internacional";116;0,000298517449116929
"565";"pessoal";116;0,000298517449116929
"566";"publicada";116;0,000298517449116929
"567";"relatou";116;0,000298517449116929
"568";"assista";115;0,000295944022831438
"569";"atencao";115;0,000295944022831438
"570";"colocar";114;0,000293370596545947
"571";"devem";114;0,000293370596545947
"572";"doenca";114;0,000293370596545947
"573";"henrique";114;0,000293370596545947
"574";"news";114;0,000293370596545947
"575";"querem";114;0,000293370596545947
"576";"recebido";114;0,000293370596545947
"577";"reporter";114;0,000293370596545947
"578";"triplex";114;0,000293370596545947
"579";"usar";114;0,000293370596545947
"580";"autoridades";113;0,000290797170260456
"581";"dona";113;0,000290797170260456
"582";"possa";113;0,000290797170260456
"583";"possui";113;0,000290797170260456
"584";"silvio";113;0,000290797170260456
"585";"americano";112;0,000288223743974966
"586";"etc";112;0,000288223743974966
"587";"junto";112;0,000288223743974966
"588";"ruas";112;0,000288223743974966
"589";"caiu";111;0,000285650317689475
"590";"disso";111;0,000285650317689475
"591";"revelou";111;0,000285650317689475
"592";"atriz";110;0,000283076891403984
"593";"cinco";110;0,000283076891403984
"594";"documento";110;0,000283076891403984
"595";"jbs";110;0,000283076891403984
"596";"maioria";110;0,000283076891403984
"597";"mal";110;0,000283076891403984
"598";"marco";110;0,000283076891403984
"599";"nenhuma";110;0,000283076891403984
"600";"pesquisa";110;0,000283076891403984
"601";"plenario";110;0,000283076891403984
"602";"regiao";110;0,000283076891403984
"603";"regime";110;0,000283076891403984
"604";"votacao";110;0,000283076891403984
"605";"casal";109;0,000280503465118493
"606";"colunista";109;0,000280503465118493
"607";"geral";109;0,000280503465118493
"608";"incluindo";109;0,000280503465118493
"609";"missil";109;0,000280503465118493
"610";"proposta";109;0,000280503465118493
"611";"trabalhadores";109;0,000280503465118493
"612";"varias";109;0,000280503465118493
"613";"ajuda";108;0,000277930038833003
"614";"combate";108;0,000277930038833003
"615";"costa";108;0,000277930038833003
"616";"nacao";108;0,000277930038833003
"617";"poderao";108;0,000277930038833003
"618";"ambos";107;0,000275356612547512
"619";"antagonista";107;0,000275356612547512
"620";"conselho";107;0,000275356612547512
"621";"filha";107;0,000275356612547512
"622";"imediatamente";107;0,000275356612547512
"623";"leo";107;0,000275356612547512
"624";"saber";107;0,000275356612547512
"625";"zavascki";107;0,000275356612547512
"626";"ataques";106;0,000272783186262021
"627";"cabeca";106;0,000272783186262021
"628";"delacoes";106;0,000272783186262021
"629";"estatal";106;0,000272783186262021
"630";"exemplo";106;0,000272783186262021
"631";"francisco";106;0,000272783186262021
"632";"maneira";106;0,000272783186262021
"633";"plano";106;0,000272783186262021
"634";"presidenta";106;0,000272783186262021
"635";"quero";106;0,000272783186262021
"636";"relator";106;0,000272783186262021
"637";"santos";106;0,000272783186262021
"638";"tse";106;0,000272783186262021
"639";"acha";105;0,00027020975997653
"640";"ameacas";105;0,00027020975997653
"641";"contou";105;0,00027020975997653
"642";"criminosa";105;0,00027020975997653
"643";"devido";105;0,00027020975997653
"644";"diretor";105;0,00027020975997653
"645";"divulgou";105;0,00027020975997653
"646";"muitos";105;0,00027020975997653
"647";"sabia";105;0,00027020975997653
"648";"alegou";104;0,00026763633369104
"649";"assessoria";104;0,00026763633369104
"650";"carta";104;0,00026763633369104
"651";"causa";104;0,00026763633369104
"652";"comissao";104;0,00026763633369104
"653";"ditador";104;0,00026763633369104
"654";"encontro";104;0,00026763633369104
"655";"foto";104;0,00026763633369104
"656";"liberdade";104;0,00026763633369104
"657";"parana";104;0,00026763633369104
"658";"periodo";104;0,00026763633369104
"659";"possibilidade";104;0,00026763633369104
"660";"queria";104;0,00026763633369104
"661";"atras";103;0,000265062907405549
"662";"controle";103;0,000265062907405549
"663";"corruptos";103;0,000265062907405549
"664";"criancas";103;0,000265062907405549
"665";"maos";103;0,000265062907405549
"666";"mim";103;0,000265062907405549
"667";"presidencial";103;0,000265062907405549
"668";"destacou";102;0,000262489481120058
"669";"ideia";102;0,000262489481120058
"670";"novas";102;0,000262489481120058
"671";"uniao";102;0,000262489481120058
"672";"vale";102;0,000262489481120058
"673";"maiores";101;0,000259916054834567
"674";"minas";101;0,000259916054834567
"675";"nesse";101;0,000259916054834567
"676";"reforma";101;0,000259916054834567
"677";"respondeu";101;0,000259916054834567
"678";"servico";101;0,000259916054834567
"679";"continua";100;0,000257342628549077
"680";"levar";100;0,000257342628549077
"681";"medidas";100;0,000257342628549077
"682";"novamente";100;0,000257342628549077
"683";"busca";99;0,000254769202263586
"684";"citado";99;0,000254769202263586
"685";"crianca";99;0,000254769202263586
"686";"passado";99;0,000254769202263586
"687";"principal";99;0,000254769202263586
"688";"recado";99;0,000254769202263586
"689";"carvalho";98;0,000252195775978095
"690";"compra";98;0,000252195775978095
"691";"mulheres";98;0,000252195775978095
"692";"pastor";98;0,000252195775978095
"693";"principais";98;0,000252195775978095
"694";"servicos";98;0,000252195775978095
"695";"comunista";97;0,000249622349692604
"696";"disseram";97;0,000249622349692604
"697";"real";97;0,000249622349692604
"698";"salario";97;0,000249622349692604
"699";"tenta";97;0,000249622349692604
"700";"virus";97;0,000249622349692604
"701";"acabar";96;0,000247048923407113
"702";"alto";96;0,000247048923407113
"703";"canal";96;0,000247048923407113
"704";"proxima";96;0,000247048923407113
"705";"acontecer";95;0,000244475497121623
"706";"bumlai";95;0,000244475497121623
"707";"chama";95;0,000244475497121623
"708";"existe";95;0,000244475497121623
"709";"futuro";95;0,000244475497121623
"710";"intencao";95;0,000244475497121623
"711";"julgamento";95;0,000244475497121623
"712";"tiririca";95;0,000244475497121623
"713";"acho";94;0,000241902070836132
"714";"alexandre";94;0,000241902070836132
"715";"area";94;0,000241902070836132
"716";"atibaia";94;0,000241902070836132
"717";"comunicacao";94;0,000241902070836132
"718";"enfim";94;0,000241902070836132
"719";"entrou";94;0,000241902070836132
"720";"internautas";94;0,000241902070836132
"721";"postagem";94;0,000241902070836132
"722";"trabalhar";94;0,000241902070836132
"723";"usado";94;0,000241902070836132
"724";"voto";94;0,000241902070836132
"725";"cargos";93;0,000239328644550641
"726";"contratos";93;0,000239328644550641
"727";"diversos";93;0,000239328644550641
"728";"japao";93;0,000239328644550641
"729";"manter";93;0,000239328644550641
"730";"onu";93;0,000239328644550641
"731";"seis";93;0,000239328644550641
"732";"bandidos";92;0,00023675521826515
"733";"dirceu";92;0,00023675521826515
"734";"fazem";92;0,00023675521826515
"735";"humanos";92;0,00023675521826515
"736";"obras";92;0,00023675521826515
"737";"pagamento";92;0,00023675521826515
"738";"sei";92;0,00023675521826515
"739";"serie";92;0,00023675521826515
"740";"alguma";91;0,00023418179197966
"741";"ciro";91;0,00023418179197966
"742";"luta";91;0,00023418179197966
"743";"penal";91;0,00023418179197966
"744";"sessao";91;0,00023418179197966
"745";"usando";91;0,00023418179197966
